@relation 'exp1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute attribute_5 numeric
@attribute attribute_13 numeric
@attribute attribute_14 numeric
@attribute attribute_30 numeric
@attribute attribute_97 numeric
@attribute attribute_123 numeric
@attribute attribute_128 numeric
@attribute attribute_152 numeric
@attribute attribute_158 numeric
@attribute attribute_206 numeric
@attribute attribute_230 numeric
@attribute attribute_232 numeric
@attribute attribute_273 numeric
@attribute attribute_299 numeric
@attribute attribute_318 numeric
@attribute attribute_319 numeric
@attribute attribute_373 numeric
@attribute attribute_375 numeric
@attribute attribute_382 numeric
@attribute attribute_388 numeric
@attribute attribute_404 numeric
@attribute attribute_419 numeric
@attribute attribute_423 numeric
@attribute attribute_444 numeric
@attribute attribute_449 numeric
@attribute attribute_452 numeric
@attribute attribute_470 numeric
@attribute attribute_481 numeric
@attribute attribute_482 numeric
@attribute attribute_504 numeric
@attribute attribute_509 numeric
@attribute attribute_519 numeric
@attribute attribute_535 numeric
@attribute class {-1,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
