id,AnnotaId,verb1_id,verb1,verb2_id,verb2,verb3_id,verb3,verb4_id,verb4,adj1_id,adj1,adj2_id,adj2,adj3_id,adj3,adj4_id,adj4,FileName,Sentiment
24325,7189,SID-01914947-V,run,NULL,NULL,NULL,NULL,NULL,NULL,SID-01177556-A,yellow,NULL,NULL,NULL,NULL,NULL,NULL,1379554263201.gif,0
24326,45,SID-02148788-V,show,NULL,NULL,NULL,NULL,NULL,NULL,SID-01048406-A,happy,NULL,NULL,NULL,NULL,NULL,NULL,1379559307320.gif,+
24327,46,SID-01207951-V,spread_over,NULL,NULL,NULL,NULL,NULL,NULL,SID-00162863-A,shy,NULL,NULL,NULL,NULL,NULL,NULL,1379560734403.gif,+
24328,47,SID-00034288-V,pull_a_face,NULL,NULL,NULL,NULL,NULL,NULL,SID-00219809-A,lovely,NULL,NULL,NULL,NULL,NULL,NULL,1379561019483.gif,+
24329,48,SID-00962447-V,talk,SID-01729431-V,sing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01148283-A,happy,NULL,NULL,1379561361942.gif,+
24330,51,SID-01508368-V,throw,NULL,NULL,NULL,NULL,NULL,NULL,SID-00113818-A,angry,NULL,NULL,NULL,NULL,NULL,NULL,1379572682209.gif,0
24331,52,SID-00548153-V,return,SID-02637938-V,wait,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,SID-01239862-A,standing,1379573681801.gif,+
24332,53,SID-01168468-V,eat,NULL,NULL,NULL,NULL,NULL,NULL,SID-01459755-A,lovely,NULL,NULL,SID-02107634-A,dull,NULL,NULL,1379575434699.gif,+
24333,54,SID-01889610-V,shake,NULL,NULL,NULL,NULL,NULL,NULL,SID-00806512-A,dull,NULL,NULL,NULL,NULL,NULL,NULL,1379575974952.gif,+
24334,56,SID-01960296-V,gallop,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1379576826226.gif,+
24335,60,SID-01904930-V,walk,NULL,NULL,NULL,NULL,NULL,NULL,SID-01598319-A,normal,NULL,NULL,NULL,NULL,NULL,NULL,1379588497895.gif,+
24336,61,SID-00066191-V,weep,NULL,NULL,NULL,NULL,NULL,NULL,SID-01317954-A,injured,NULL,NULL,NULL,NULL,NULL,NULL,1379602835252.gif,0
24337,63,SID-01205696-V,touch,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379602899295.gif,+
24338,66,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-01800764-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1379610092162.gif,+
24339,67,SID-00377002-V,combust,NULL,NULL,NULL,NULL,NULL,NULL,SID-01361863-A,sad,NULL,NULL,NULL,NULL,NULL,NULL,1379612515532.gif,-
24340,71,SID-01270199-V,wash,NULL,NULL,NULL,NULL,NULL,NULL,SID-01335458-A,smart,NULL,NULL,NULL,NULL,NULL,NULL,1379636634868.gif,0
24341,72,NULL,NULL,NULL,NULL,SID-01396524-V,hug,NULL,NULL,SID-00531628-A,embarrassed,SID-00971660-A,cool,NULL,NULL,NULL,NULL,1379646018090.gif,+
24342,73,SID-01882170-V,walk,SID-02137132-V,show,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1379648402076.gif,+
24343,75,SID-01072949-V,play,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1379650609708.gif,+
24344,76,SID-01963942-V,spring,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1379650713801.gif,+
24345,80,SID-01775535-V,love,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186580-A,three,NULL,NULL,NULL,NULL,NULL,NULL,1379687419242.gif,+
24346,81,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379687997348.gif,0
24347,82,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379700182851.gif,0
24348,83,SID-00004492-V,hold,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379700425955.gif,+
24349,85,SID-01904930-V,walk,NULL,NULL,NULL,NULL,NULL,NULL,SID-01554063-A,some,NULL,NULL,NULL,NULL,NULL,NULL,1379727711068.gif,0
24350,86,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379727713997.gif,0
24351,87,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379727846794.gif,+
24352,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00219809-A,lovely,SID-00219809-A,lovely,NULL,NULL,NULL,NULL,1379728787128.gif,+
24353,91,SID-01601685-V,stoop,NULL,NULL,NULL,NULL,NULL,NULL,SID-01728614-A,ancient,NULL,NULL,NULL,NULL,NULL,NULL,1379741870146.gif,+
24354,92,SID-00858568-V,cheer,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379744630632.gif,+
24355,94,SID-00147815-V,fall,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379745137176.gif,+
24356,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00323873-A,fast,SID-01606058-A,blue,NULL,NULL,NULL,NULL,1379749091859.gif,+
24357,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01206474-A,low,SID-01677623-A,one,NULL,NULL,NULL,NULL,1379750217347.gif,+
24358,99,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379750225956.gif,+
24359,100,SID-00014034-V,shake,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379750363690.gif,+
24360,101,SID-01547001-V,lie,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379753009948.gif,0
24361,103,SID-00147815-V,fall,SID-01936753-V,skate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379753830667.gif,+
24362,104,SID-02701445-V,sleep,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186580-A,three,NULL,NULL,NULL,NULL,NULL,NULL,1379754317171.gif,+
24363,105,SID-01166351-V,eat,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379754320336.gif,+
24364,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,SID-01677623-A,one,SID-01276872-A,big,NULL,NULL,1379757351114.gif,+
24365,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00323873-A,fast,SID-01677623-A,one,NULL,NULL,NULL,NULL,1379757378811.gif,0
24366,109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,SID-01677623-A,one,NULL,NULL,NULL,NULL,1379757439029.gif,0
24367,110,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379757635135.gif,0
24368,111,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379757639057.gif,0
24369,112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00064787-A,good,SID-01678586-A,some,NULL,NULL,NULL,NULL,1379761276641.gif,+
24370,113,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379761344970.gif,0
24371,114,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379762184026.gif,0
24372,117,SID-00989201-V,speak,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379774874123.gif,0
24373,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,SID-01677623-A,one,NULL,NULL,NULL,NULL,1379774907552.gif,0
24374,119,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-01678586-A,some,NULL,NULL,NULL,NULL,NULL,NULL,1379775149026.gif,+
24375,120,SID-00020133-V,wake,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379775201398.gif,+
24376,123,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-00818008-A,young,NULL,NULL,NULL,NULL,NULL,NULL,1379812664627.gif,+
24377,124,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1379812776396.gif,+
24378,126,SID-00100044-V,train,SID-01997119-V,back,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379819922338.gif,0
24379,127,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-02545023-A,funny,NULL,NULL,NULL,NULL,NULL,NULL,1379820559467.gif,+
24380,133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,SID-02357479-A,surprised,NULL,NULL,NULL,NULL,1379832127357.gif,0
24381,137,SID-00688261-V,lean,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379861456627.gif,0
24382,138,SID-00147815-V,fall,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379861546885.gif,+
24383,139,SID-00007328-V,yawn,NULL,NULL,NULL,NULL,NULL,NULL,SID-02186470-A,two,NULL,NULL,NULL,NULL,NULL,NULL,1379861563984.gif,0
24384,140,NULL,NULL,NULL,NULL,SID-00031820-V,laugh,NULL,NULL,SID-01677623-A,one,SID-01677623-A,one,NULL,NULL,NULL,NULL,1379861634228.gif,+
24385,141,SID-00545292-V,fly,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379862185738.gif,0
24386,143,SID-01163355-V,play,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379874773399.gif,0
24387,144,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379875168434.gif,0
24388,145,SID-01113473-V,walk,NULL,NULL,NULL,NULL,NULL,NULL,SID-01678586-A,some,NULL,NULL,NULL,NULL,NULL,NULL,1379875222195.gif,0
24389,147,SID-00545292-V,fly,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379885920728.gif,0
24390,148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01207546-A,under,SID-01677623-A,one,NULL,NULL,NULL,NULL,1379900030350.gif,0
