adj,adjid
acid,SID-00025470-A
active,SID-00031974-A
dead,SID-00036879-A
good,SID-00064787-A
afraid,SID-00077645-A
shocked,SID-00078576-A
scared,SID-00079629-A
out,SID-00100213-A
angry,SID-00113818-A
deep,SID-00149120-A
speaking,SID-00152896-A
shy,SID-00162863-A
cute,SID-00167278-A
asleep,SID-00187736-A
sensible,SID-00191265-A
ugly,SID-00193480-A
backward,SID-00201354-A
long-haired,SID-00214812-A
beautiful,SID-00217728-A
lovely,SID-00219809-A
pretty,SID-00220082-A
black,SID-00241952-A
timid,SID-00251809-A
courageous,SID-00262792-A
twinkling,SID-00283580-A
dull,SID-00283703-A
broken,SID-00289082-A
calm,SID-00302761-A
fast,SID-00323873-A
confident,SID-00338817-A
black,SID-00392812-A
white,SID-00393105-A
dull,SID-00393992-A
stupid,SID-00439588-A
walking,SID-00450402-A
close,SID-00451510-A
nude,SID-00457998-A
cloudy,SID-00461311-A
painful,SID-00478685-A
wide,SID-00526062-A
embarrassed,SID-00531628-A
crowded,SID-00559690-A
creative,SID-00585202-A
satisfied,SID-00589344-A
running,SID-00592754-A
dejected,SID-00703109-A
delicate,SID-00705891-A
brutal,SID-00765173-A
wet,SID-00798103-A
alive,SID-00805115-A
dull,SID-00806512-A
young,SID-00818008-A
old,SID-00820219-A
easy,SID-00822115-A
athletic,SID-00828661-A
strong,SID-00842199-A
little,SID-00855670-A
physical,SID-00874092-A
small,SID-00882580-A
shrunken,SID-00883345-A
unhappy,SID-00909363-A
excited,SID-00919542-A
crazy,SID-00919984-A
upset,SID-00931395-A
expensive,SID-00933154-A
out,SID-00952653-A
old,SID-00966357-A
unfamiliar,SID-00966477-A
crazy,SID-00967897-A
cool,SID-00971660-A
in,SID-00972501-A
fast,SID-00976508-A
slow,SID-00980527-A
lazy,SID-00981304-A
fast,SID-00981818-A
fat,SID-00986027-A
middle,SID-01014953-A
fit,SID-01017161-A
strange,SID-01034457-A
happy,SID-01048406-A
unlucky,SID-01051410-A
unhappy,SID-01051814-A
hard,SID-01069715-A
bad,SID-01125429-A
naughty,SID-01128406-A
sudden,SID-01143279-A
happy,SID-01148283-A
angry,SID-01173697-A
yellow,SID-01177556-A
heavy,SID-01188491-A
big,SID-01191780-A
high,SID-01204557-A
low,SID-01206474-A
under,SID-01207546-A
weeping,SID-01238486-A
standing,SID-01239862-A
sitting,SID-01240029-A
running,SID-01240413-A
still,SID-01241600-A
hot,SID-01247240-A
powerful,SID-01261363-A
hungry,SID-01269073-A
quick,SID-01270486-A
big,SID-01276872-A
broad,SID-01287160-A
injured,SID-01317954-A
one,SID-01330506-A
intelligent,SID-01334398-A
nimble,SID-01334833-A
smart,SID-01335458-A
interesting,SID-01343918-A
sad,SID-01361863-A
melancholy,SID-01362684-A
weeping,SID-01365239-A
kind,SID-01372049-A
small,SID-01391351-A
same,SID-01411065-A
loud,SID-01452593-A
big,SID-01453084-A
lovely,SID-01459755-A
manly,SID-01475831-A
fierce,SID-01507808-A
relieved,SID-01519465-A
many,SID-01551633-A
much,SID-01553629-A
some,SID-01554063-A
more,SID-01556355-A
sick,SID-01560165-A
moving,SID-01560513-A
moving,SID-01561771-A
flying,SID-01562992-A
still,SID-01564315-A
together,SID-01586194-A
normal,SID-01598319-A
blue,SID-01606058-A
new,SID-01640850-A
old,SID-01643620-A
young,SID-01646941-A
on,SID-01651196-A
fighting,SID-01660444-A
disorderly,SID-01666275-A
one,SID-01677623-A
some,SID-01678586-A
naked,SID-01698760-A
passionate,SID-01725712-A
ancient,SID-01728614-A
beautiful,SID-01800764-A
popular,SID-01815838-A
strong,SID-01824244-A
powerful,SID-01825671-A
dead,SID-01838151-A
pure,SID-01904845-A
quiet,SID-01918984-A
waiting,SID-01931926-A
tall,SID-02017721-A
like,SID-02063554-A
one,SID-02064427-A
irritable,SID-02104600-A
dull,SID-02107634-A
sexy,SID-02131072-A
sexy,SID-02137538-A
sincere,SID-02179279-A
two,SID-02186470-A
three,SID-02186580-A
nine,SID-02187161-A
skillful,SID-02226162-A
smooth,SID-02236842-A
no,SID-02268485-A
strong,SID-02321009-A
surprised,SID-02357479-A
tall,SID-02385102-A
long,SID-02386125-A
disorderly,SID-02390569-A
yummy,SID-02396720-A
fat,SID-02411224-A
tired,SID-02431728-A
tearful,SID-02473141-A
down,SID-02491961-A
funny,SID-02545023-A
mad,SID-02572038-A
acervate,SID-02600447-A
static,SID-02719009-A
chinese,SID-02964782-A
tragic,SID-02973241-A
green,SID-03069937-A
