SynId,KeyWord,Gloss,ParentId,SonId
SID-00001740-A,able,"(usually followed by `to') having the necessary means or skill or know-how or authority to do something ""able to swim"" ""she was able to program her computer"" ""we were at last able to buy a car"" ""able to get a grant for the project""",NULL,NULL
SID-00003700-A,dissilient,"bursting open with force as do some ripe seed vessels",NULL,NULL
SID-00003829-A,parturient,"giving birth ""a parturient heifer""",NULL,NULL
SID-00005107-A,uncut,"complete ""the full-length play""",NULL,NULL
SID-00005205-A,absolute,"perfect or complete or pure ""absolute loyalty"" ""absolute silence"" ""absolute truth"" ""absolute alcohol""",NULL,NULL
SID-00005473-A,direct,"lacking compromising or mitigating elements exact ""the direct opposite""",NULL,NULL
SID-00005718-A,infinite,"total and all-embracing ""God's infinite wisdom""",NULL,NULL
SID-00005839-A,living,"(informal) absolute ""she is a living doll"" ""scared the living daylights out of them"" ""beat the living hell out of him""",NULL,NULL
SID-00006777-A,sorbefacient,"inducing or promoting absorption",NULL,NULL
SID-00008734-A,absorbable,"capable of being absorbed or taken in through the pores of a surface",NULL,NULL
SID-00008877-A,adsorbate,"capable of being adsorbed or accumulated on a surface of a solid",NULL,NULL
SID-00009618-A,spartan,"practicing great self-denial ""Be systematically ascetic...do...something for no other reason than that you would rather not do it""- William James ""a desert nomad's austere life"" ""a spartan diet"" ""a spartan existence""",NULL,NULL
SID-00012071-A,notional,"being of the nature of a notion or concept ""a plan abstract and conceptional"" ""to improve notional comprehension"" ""a notional response to the question""",NULL,NULL
SID-00012362-A,conceptual,"being or characterized by concepts or their formation ""conceptual discussions"" ""the schizophrenic loses ability to abstract or do conceptual thinking"" ""sex is a notional category gender is a grammatical category""",NULL,NULL
SID-00013160-A,concrete,"capable of being perceived by the senses not abstract or imaginary ""concrete objects such as trees""",NULL,NULL
SID-00014490-A,rich,"affording an abundant supply ""had ample food for the party"" ""copious provisions"" ""food is plentiful"" ""a plenteous grape harvest"" ""a rich supply""",NULL,NULL
SID-00017688-A,unabused,"not physically abused treated properly",NULL,NULL
SID-00017782-A,acceptable,"worthy of acceptance or satisfactory ""acceptable levels of radiation"" ""performances varied from acceptable to excellent""",NULL,NULL
SID-00018069-A,bankable,"acceptable to or at a bank ""bankable funds""",NULL,NULL
SID-00019131-A,accessible,"capable of being reached ""a town accessible by rail""",NULL,NULL
SID-00019349-A,reachable,"easily approached ""a site approachable from a branch of the Niger""",NULL,NULL
SID-00019505-A,getatable,"capable of being reached or attained ""a very getatable man"" ""both oil and coal are there but not in getatable locations""",NULL,NULL
SID-00019874-A,unaccessible,"capable of being reached only with great difficulty or not at all",NULL,NULL
SID-00020103-A,remote,"inaccessible and sparsely populated",NULL,NULL
SID-00020787-A,accommodative,"helpful in bringing about a harmonious adaptation ""the warden was always accommodating in allowing visitors in"" ""made a special effort to be accommodating""",NULL,NULL
SID-00021110-A,obliging,"showing a cheerful willingness to do favors for others ""to close one's eyes like a complaisant husband whose wife has taken a lover"" ""the obliging waiter was in no hurry for us to leave""",NULL,NULL
SID-00021766-A,accurate,"conforming exactly or almost exactly to fact or to a standard or performing with total accuracy ""an accurate reproduction"" ""the accounting was accurate"" ""accurate measurements"" ""an accurate scale""",NULL,NULL
SID-00022219-A,faithful,"marked by fidelity to an original ""a close translation"" ""a faithful copy of the portrait"" ""a faithful rendering of the observed facts""",NULL,NULL
SID-00022437-A,dead-on,"accurate and to the point ""a dead-on feel for characterization"" ""She avoids big scenes...preferring to rely on small gestures and dead-on dialogue""- Peter S.Prescott",NULL,NULL
SID-00022680-A,high-fidelity,"characterized by minimal distortion in sound reproduction ""a high-fidelity recording"" ""a hi-fi system""",NULL,NULL
SID-00022852-A,surgical,"performed with great precision ""a surgical air strike""",NULL,NULL
SID-00023120-A,true,"accurately placed or thrown ""his aim was true"" ""he was dead on target""",NULL,NULL
SID-00023278-A,veracious,"precisely accurate ""a veracious account""",NULL,NULL
SID-00024417-A,accustomed,"(often followed by `to') in the habit of or adapted to ""accustomed to doing her own work"" ""I've grown accustomed to her face""",NULL,NULL
SID-00026168-A,basic,"of or denoting or of the nature of or containing a base",NULL,NULL
SID-00026388-A,saltlike,"resembling a compound formed by replacing hydrogen in an acid by a metal",NULL,NULL
SID-00026515-A,amphoteric,"having characteristics of both an acid and a base and capable of reacting as either",NULL,NULL
SID-00027247-A,acknowledged,"recognized or made known or admitted ""the acknowledged leader of the community"" ""a woman of acknowledged accomplishments"" ""his acknowledged error""",NULL,NULL
SID-00027599-A,recognized,"generally approved or compelling recognition ""several accepted techniques for treating the condition"" ""his recognized superiority in this kind of work""",NULL,NULL
SID-00028008-A,assumptive,"accepted as real or true without proof ""the assumed reason for his absence"" ""assumptive beliefs""",NULL,NULL
SID-00028181-A,declarable,"that must be declared ""declarable income""",NULL,NULL
SID-00028471-A,putative,"purported commonly put forth or accepted as true on inconclusive grounds ""the foundling's putative father"" ""the putative author of the book""",NULL,NULL
SID-00028984-A,unavowed,"not openly made known ""a secret marriage"" ""a secret bride""",NULL,NULL
SID-00029769-A,accumulative,"marked by acquiring or amassing ""we live in an accumulative society""",NULL,NULL
SID-00031974-A,active,"characterized by energetic activity ""an active toddler"" ""active as a gazelle"" ""an active man is a man of action""",NULL,NULL
SID-00032497-A,gymnastic,"vigorously active ""an acrobatic dance"" ""an athletic child"" ""athletic playing"" ""gymnastic exercises""",NULL,NULL
SID-00033077-A,hot,"marked by excited activity ""a hot week on the stock market""",NULL,NULL
SID-00033206-A,overactive,"more active than normal ""a hyperactive child""",NULL,NULL
SID-00033359-A,on_the_go,"(of a person) very busy and active ""is always on the go""",NULL,NULL
SID-00033475-A,sporty,"appropriate for sport or engagement in a sport",NULL,NULL
SID-00033886-A,deskbound,"restricted to working in an office rather than in an active physical capacity",NULL,NULL
SID-00034322-A,torpid,"slow and apathetic ""she was fat and inert"" ""a sluggish worker"" ""a mind grown torpid in old age""",NULL,NULL
SID-00034572-A,sedentary,"requiring sitting or little activity ""forced by illness to lead a sedentary life""",NULL,NULL
SID-00035779-A,brisk,"very active ""doing a brisk business""",NULL,NULL
SID-00035868-A,bustling,"full of energetic and noisy activity ""a bustling city""",NULL,NULL
SID-00035978-A,busy,"crowded with or characterized by much activity ""a very busy week"" ""a busy life"" ""a busy street"" ""a busy seaport""",NULL,NULL
SID-00036481-A,inactive,"lacking activity lying idle or unused ""an inactive mine"" ""inactive accounts"" ""inactive machinery""",NULL,NULL
SID-00036879-A,dead,"devoid of activity ""this is a dead town nothing ever happens here""",NULL,NULL
SID-00038750-A,active,"disposed to take action or effectuate change ""a director who takes an active interest in corporate operations"" ""an active antagonism"" ""he was active in drawing attention to their grievances""",NULL,NULL
SID-00039592-A,passive,"lacking in energy or will ""Much benevolence of the passive order may be traced to a disinclination to inflict pain upon oneself""- George Meredith",NULL,NULL
SID-00041488-A,live,"capable of erupting ""a live volcano"" ""the volcano is very much alive""",NULL,NULL
SID-00042457-A,active,"exerting influence or producing a change or effect ""an active ingredient""",NULL,NULL
SID-00042692-A,activated,"rendered active e.g. rendered radioactive or luminescent or photosensitive or conductive",NULL,NULL
SID-00043411-A,active,"(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions",NULL,NULL
SID-00044132-A,effective,"existing in fact not theoretical real ""a decline in the effective demand"" ""confused increased equipment and expenditure with the quantity of effective work done""",NULL,NULL
SID-00045561-A,virulent,"infectious having the ability to cause disease",NULL,NULL
SID-00046109-A,adaptive,"having a capacity for adaptation ""the adaptive coloring of a chameleon""",NULL,NULL
SID-00046339-A,reconciling,"tending to reconcile or accommodate bringing into harmony",NULL,NULL
SID-00046558-A,adjustive,"conducive to adjustment",NULL,NULL
SID-00046673-A,maladaptive,"showing faulty adaptation",NULL,NULL
SID-00046955-A,maladjustive,"poorly adjusted",NULL,NULL
SID-00047653-A,clean,"free of drugs ""after a long dependency on heroin she has been clean for 4 years""",NULL,NULL
SID-00048706-A,addible,"capable of being added or added to",NULL,NULL
SID-00050083-A,subtractive,"constituting or involving subtraction ""a subtractive correction""",NULL,NULL
SID-00050260-A,ablative,"tending to ablate i.e. to be removed or vaporized at very high temperature ""ablative material on a rocket cone""",NULL,NULL
SID-00050641-A,addressed,"(of mail) marked with a destination ""I throw away all mail addressed to `resident'""",NULL,NULL
SID-00051373-A,up_to,"having the requisite qualities for ""equal to the task"" ""the work isn't up to the standard I require""",NULL,NULL
SID-00051571-A,competent,"adequate for the purpose ""a competent performance""",NULL,NULL
SID-00053248-A,bondable,"capable of holding together or cohering as particles in a mass",NULL,NULL
SID-00055539-A,substantive,"defining rights and duties as opposed to giving the rules by which rights and duties are established ""substantive law""",NULL,NULL
SID-00055765-A,adoptable,"suitable or eligible for adoption ""a shortage of adoptable babies""",NULL,NULL
SID-00056002-A,decorated,"provided with something intended to increase its beauty or distinction",NULL,NULL
SID-00058929-A,gilt-edged,"having gilded edges as the pages of a book",NULL,NULL
SID-00061262-A,adroit,"quick or skillful or adept in action or thought ""an exceptionally adroit pianist"" ""an adroit technician"" ""his adroit replies to hecklers won him many followers"" ""an adroit negotiator""",NULL,NULL
SID-00061664-A,neat,"free from clumsiness precisely or deftly executed ""he landed a clean left on his opponent's cheek"" ""a clean throw"" ""the neat exactness of the surgeon's knife""",NULL,NULL
SID-00061885-A,ingenious,"showing inventiveness and skill ""a clever gadget"" ""the cunning maneuvers leading to his success"" ""an ingenious solution to the problem""",NULL,NULL
SID-00062626-A,handy,"skillful with the hands ""handy with an axe""",NULL,NULL
SID-00063087-A,quick-witted,"mentally nimble and resourceful ""quick-witted debater"" ""saved an embarrassing situation with quick-witted tact""",NULL,NULL
SID-00063953-A,tactless,"revealing lack of perceptiveness or judgment or finesse ""an inept remark"" ""it was tactless to bring up those disagreeable""",NULL,NULL
SID-00064479-A,advantageous,"giving an advantage ""a contract advantageous to our country"" ""socially advantageous to entertain often""",NULL,NULL
SID-00064787-A,good,"promoting or enhancing well-being ""an arms limitation agreement beneficial to all countries"" ""the beneficial effects of a temperate climate"" ""the experience was good for her""",NULL,NULL
SID-00065064-A,positive,"involving advantage or good ""a plus (or positive) factor""",NULL,NULL
SID-00065488-A,disadvantageous,"constituting a disadvantage",NULL,NULL
SID-00065791-A,adventurous,"willing to undertake or seeking out new and daring enterprises ""adventurous pioneers"" ""the risks and gains of an adventuresome economy""",NULL,NULL
SID-00066146-A,venturous,"disposed to venture or take risks ""audacious visions of the total conquest of space"" ""an audacious interpretation of two Jacobean dramas"" ""the most daring of contemporary fiction writers"" ""a venturesome investor"" ""a venturous spirit""",NULL,NULL
SID-00066703-A,swashbuckling,"flamboyantly adventurous",NULL,NULL
SID-00067038-A,advisable,"worthy of being recommended or suggested prudent or wise ""such action is neither necessary nor advisable"" ""extreme caution is advisable"" ""it is advisable to telephone first""",NULL,NULL
SID-00067379-A,better,"(comparative and superlative of `well') wiser or more advantageous and hence advisable ""it would be better to speak to him"" ""the White House thought it best not to respond""",NULL,NULL
SID-00067638-A,well,"wise or advantageous and hence advisable ""it would be well to start early""",NULL,NULL
SID-00067966-A,well-advised,"having the benefit of careful prior consideration or counsel ""a well-advised delay in carrying out the plan""",NULL,NULL
SID-00069217-A,aerobic,"based on or using the principles of aerobics enhancing respiratory and circulatory efficiency ""aerobic dance"" ""running is very aerobic""",NULL,NULL
SID-00069531-A,esthetical,"concerning or characterized by an appreciation of beauty or good taste ""the aesthetic faculties"" ""an aesthetic person"" ""aesthetic feeling"" ""the illustrations made the book an aesthetic success""",NULL,NULL
SID-00069948-A,artistic,"satisfying aesthetic standards and sensibilities ""artistic workmanship""",NULL,NULL
SID-00070288-A,painterly,"having qualities unique to the art of painting",NULL,NULL
SID-00070427-A,sensuous,"taking delight in beauty ""the sensuous joy from all things fair""",NULL,NULL
SID-00070939-A,affected,"acted upon influenced",NULL,NULL
SID-00071427-A,stage-struck,"infatuated with or enthralled by the theater especially the desire to act",NULL,NULL
SID-00072436-A,superior,"(often followed by `to') above being affected or influenced by ""he is superior to fear"" ""an ignited firework proceeds superior to circumstances until its blazing vitality fades""",NULL,NULL
