SynId,KeyWord,Gloss,ParentId,SonId
SID-00001740-V,take_a_breath,"draw air into and expel out of the lungs ""I can breathe better when the air is clean"" ""The patient is respiring""",NULL,NULL
SID-00002325-V,respire,"undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide",NULL,NULL
SID-00002573-V,respire,"breathe easily again as after exertion or anxiety",NULL,NULL
SID-00002724-V,choke,"breathe with great difficulty as when experiencing a strong emotion ""She choked with emotion when she spoke about her deceased husband""",NULL,NULL
SID-00002942-V,hyperventilate,"breathe excessively hard and fast ""The mountain climber started to hyperventilate""",NULL,NULL
SID-00003133-V,hyperventilate,"produce hyperventilation in ""The nurses had to hyperventilate the patient""",NULL,NULL
SID-00003316-V,aspirate,"suck in (air)",NULL,NULL
SID-00003431-V,eruct,"expel gas from the stomach ""In China it is polite to burp at the table""",NULL,NULL
SID-00003662-V,force_out,"emit or cause to move with force of effort ""force out the air"" ""force out the splinter""",NULL,NULL
SID-00003826-V,hiccup,"breathe spasmodically and make a sound ""When you have to hiccup drink a glass of cold water""",NULL,NULL
SID-00004032-V,suspire,"heave or utter a sigh breathe deeply and heavily ""She sighed sadly""",NULL,NULL
SID-00004227-V,expire,"expel air ""Exhale when you lift the weight""",NULL,NULL
SID-00004492-V,hold,"keep from exhaling or expelling ""hold your breath""",NULL,NULL
SID-00004605-V,give_forth,"give out (breath or an odor) ""The chimney exhales a thick smoke""",NULL,NULL
SID-00004819-V,sneeze,"exhale spasmodically as when an irritant entered one's nose ""Pepper makes me sneeze""",NULL,NULL
SID-00005041-V,inspire,"draw in (air) ""Inhale deeply"" ""inhale the fresh mountain air"" ""The patient has trouble inspiring"" ""The lung cancer patient cannot inspire air very well""",NULL,NULL
SID-00005526-V,puff,"breathe noisily as when one is exhausted ""The runners reached the finish line panting heavily""",NULL,NULL
SID-00005815-V,cough,"exhale abruptly as when one has a chest cold or congestion ""The smoker coughs all day""",NULL,NULL
