verb,verbid
hold,SID-00004492-V
sneeze,SID-00004819-V
cough,SID-00005815-V
yawn,SID-00007328-V
wink,SID-00007739-V
make,SID-00012267-V
play,SID-00013615-V
shake,SID-00014034-V
move,SID-00014549-V
nod,SID-00016702-V
attack,SID-00019792-V
wake,SID-00020133-V
stretch,SID-00027268-V
smile,SID-00028565-V
laugh,SID-00031820-V
look,SID-00033599-V
pull_a_face,SID-00034288-V
pout,SID-00034758-V
shower,SID-00035259-V
bathe,SID-00035603-V
wash,SID-00036178-V
wave,SID-00039488-V
wear,SID-00047610-V
wear,SID-00047745-V
undress,SID-00049900-V
wear,SID-00050652-V
vest,SID-00052253-V
massage,SID-00064487-V
hurt,SID-00064643-V
weep,SID-00066191-V
cry,SID-00066685-V
sweat,SID-00067545-V
pull,SID-00071803-V
help,SID-00082081-V
shoot,SID-00086320-V
take,SID-00087736-V
shock,SID-00090386-V
cut,SID-00096136-V
train,SID-00100044-V
roll,SID-00100410-V
make,SID-00107369-V
change,SID-00109660-V
jump,SID-00121506-V
move,SID-00124442-V
roll,SID-00125289-V
turn,SID-00125841-V
land,SID-00135857-V
fall,SID-00147815-V
drop,SID-00148341-V
work,SID-00150096-V
rise,SID-00155143-V
jump,SID-00155727-V
raise,SID-00158503-V
undress,SID-00177243-V
clean,SID-00177861-V
strip,SID-00194534-V
burn,SID-00196364-V
flow,SID-00217427-V
unlock,SID-00219963-V
die,SID-00224295-V
collapse,SID-00224460-V
touch,SID-00286928-V
explode,SID-00306017-V
explode,SID-00306298-V
cook,SID-00322847-V
boil,SID-00328128-V
separate,SID-00328802-V
run,SID-00334803-V
fall,SID-00342314-V
raise,SID-00354195-V
kill,SID-00355177-V
stop,SID-00362610-V
combust,SID-00377002-V
fire,SID-00378664-V
dull,SID-00391971-V
burst,SID-00424224-V
flash,SID-00424869-V
run,SID-00444629-V
flush,SID-00454868-V
rush,SID-00459498-V
still,SID-00461493-V
run,SID-00517529-V
escape,SID-00530017-V
fly,SID-00545292-V
return,SID-00548153-V
save,SID-00549552-V
swing,SID-00557216-V
pull,SID-00571596-V
hold,SID-00607000-V
think,SID-00608808-V
leave,SID-00613683-V
expose,SID-00614444-V
read,SID-00620239-V
throw,SID-00621734-V
read,SID-00625119-V
read,SID-00626428-V
answer,SID-00636279-V
sex,SID-00651630-V
show,SID-00664788-V
stand,SID-00670991-V
